UniqueID,Rank,Pick,Team,Player,College,Years,Games,TOTMP,TOTPTS,TOTTRB,TOTAST,FG%,3P%,FT%,WinShares,WS/48,BoxPlusMinus,VORP,MPG,PPG,RPG,APG,DraftYear
1450,2,2,LAL,D'Angelo Russell,Ohio State,7,404,11849,7175,1444,2225,0.42,0.359,0.775,13.2,0.053,0.6,7.8,29.3,17.8,3.6,5.5,2015
1451,3,3,PHI,Jahlil Okafor,Duke,6,247,4827,2566,1169,225,0.542,0.222,0.676,7.2,0.071,-2,0,19.5,10.4,4.7,0.9,2015
1452,4,4,NYK,Kristaps Porziņģis,,6,320,9907,5995,2499,487,0.442,0.353,0.816,25.1,0.122,1.5,8.8,31,18.7,7.8,1.5,2015
1453,5,5,ORL,Mario Hezonja,,5,330,6107,2284,1026,415,0.417,0.319,0.812,3.2,0.025,-2.8,-1.2,18.5,6.9,3.1,1.3,2015
1509,1,1,PHI,Ben Simmons,LSU,4,275,9326,4382,2217,2127,0.56,0.147,0.597,30.4,0.156,3.7,13.5,33.9,15.9,8.1,7.7,2016
1510,2,2,LAL,Brandon Ingram,Duke,6,358,11756,6559,1832,1346,0.459,0.362,0.765,17.4,0.071,-0.5,4.6,32.8,18.3,5.1,3.8,2016
1511,3,3,BOS,Jaylen Brown,California,6,383,10918,6177,1891,741,0.47,0.373,0.712,22.5,0.099,0,5.5,28.5,16.1,4.9,1.9,2016
1512,4,4,PHO,Dragan Bender,,4,187,3755,1014,720,237,0.399,0.323,0.654,0.5,0.006,-3.9,-1.9,20.1,5.4,3.9,1.3,2016
1513,5,5,MIN,Kris Dunn,Providence,5,231,5561,1889,766,950,0.42,0.305,0.727,3.7,0.032,-1.9,0.1,24.1,8.2,3.3,4.1,2016
1569,1,1,PHI,Markelle Fultz,Washington,4,113,2891,1228,376,524,0.447,0.265,0.695,3.1,0.052,-2.2,-0.2,25.6,10.9,3.3,4.6,2017
1570,2,2,LAL,Lonzo Ball,UCLA,5,252,8187,2995,1447,1563,0.4,0.364,0.578,11.7,0.068,1.1,6.3,32.5,11.9,5.7,6.2,2017
1571,3,3,BOS,Jayson Tatum,Duke,5,345,11473,7033,2280,1005,0.453,0.38,0.842,31.5,0.132,2.4,12.9,33.3,20.4,6.6,2.9,2017
1572,4,4,PHO,Josh Jackson,Kansas,5,280,6598,3224,1141,529,0.417,0.293,0.679,-1.6,-0.012,-3.8,-2.9,23.6,11.5,4.1,1.9,2017
1573,5,5,SAC,De'Aaron Fox,Kentucky,5,311,9894,5826,1094,1922,0.459,0.317,0.725,15,0.073,0,4.9,31.8,18.7,3.5,6.2,2017
1629,1,1,PHO,Deandre Ayton,Arizona,4,215,6610,3455,2272,349,0.595,0.196,0.751,22.1,0.161,1.1,5.2,30.7,16.1,10.6,1.6,2018
1630,2,2,SAC,Marvin Bagley III,Duke,4,150,3713,2010,1115,133,0.493,0.298,0.665,6.3,0.081,-2.4,-0.4,24.8,13.4,7.4,0.9,2018
1631,3,3,ATL,Luka Dončić,,4,243,8186,6327,2067,1929,0.456,0.332,0.734,26.3,0.154,6.6,17.7,33.7,26,8.5,7.9,2018
1632,4,4,MEM,Jaren Jackson Jr.,Michigan State,4,185,5037,2932,950,217,0.457,0.353,0.779,11.6,0.11,0,2.6,27.2,15.8,5.1,1.2,2018
1633,5,5,DAL,Trae Young,Oklahoma,4,257,8572,6396,1007,2300,0.437,0.352,0.868,22.6,0.126,2.7,10.1,33.4,24.9,3.9,8.9,2018
1689,1,1,NOP,Zion Williamson,Duke,2,85,2694,2187,591,276,0.604,0.333,0.683,10.6,0.189,4.9,4.7,31.7,25.7,7,3.2,2019
1690,2,2,MEM,Ja Morant,Murray State,3,176,5653,3630,780,1269,0.473,0.321,0.752,12.6,0.107,1.6,5.1,32.1,20.6,4.4,7.2,2019
1691,3,3,NYK,RJ Barrett,Duke,3,176,5802,2930,965,485,0.421,0.364,0.687,5,0.041,-2.2,-0.3,33,16.6,5.5,2.8,2019
1692,4,4,LAL,De'Andre Hunter,Virginia,3,116,3569,1513,498,192,0.434,0.356,0.778,2.2,0.03,-3.4,-1.3,30.8,13,4.3,1.7,2019
1693,5,5,CLE,Darius Garland,Vanderbilt,3,160,5240,2622,396,932,0.444,0.375,0.877,4.2,0.038,-1.9,0.1,32.8,16.4,2.5,5.8,2019
1749,1,1,MIN,Anthony Edwards,Georgia,2,125,4148,2551,589,400,0.425,0.341,0.776,3.9,0.045,-0.7,1.4,33.2,20.4,4.7,3.2,2020
1750,2,2,GSW,James Wiseman,Memphis,1,39,836,448,226,26,0.519,0.316,0.628,0.7,0.042,-5,-0.6,21.4,11.5,5.8,0.7,2020
1751,3,3,CHA,LaMelo Ball,,2,104,3202,1865,678,713,0.429,0.361,0.811,7.1,0.106,2.7,3.8,30.8,17.9,6.5,6.9,2020
1752,4,4,CHI,Patrick Williams,Florida State,2,76,2108,688,338,102,0.486,0.396,0.736,2.7,0.061,-2.4,-0.2,27.7,9.1,4.4,1.3,2020
1753,5,5,CLE,Isaac Okoro,Auburn,2,110,3413,1031,340,208,0.435,0.299,0.746,3.6,0.051,-3.9,-1.6,31,9.4,3.1,1.9,2020
1809,1,1,DET,Cade Cunningham,Oklahoma State,1,44,1400,692,241,227,0.394,0.327,0.856,-0.8,-0.028,-2.4,-0.1,31.8,15.7,5.5,5.2,2021
1810,2,2,HOU,Jalen Green,,1,43,1307,627,134,100,0.387,0.311,0.818,-0.8,-0.03,-4.9,-1,30.4,14.6,3.1,2.3,2021
1811,3,3,CLE,Evan Mobley,USC,1,50,1703,743,403,128,0.503,0.265,0.672,4.2,0.117,0.9,1.2,34.1,14.9,8.1,2.6,2021
1812,4,4,TOR,Scottie Barnes,Florida State,1,49,1736,706,365,164,0.47,0.313,0.733,3.8,0.104,0,0.9,35.4,14.4,7.4,3.3,2021
1813,5,5,ORL,Jalen Suggs,Gonzaga,1,39,1100,492,146,170,0.367,0.228,0.776,-1.2,-0.052,-5.2,-0.9,28.2,12.6,3.7,4.4,2021
